                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.67884,                0.56508,                0.97745,                0.67621,                0.61917,                0.63451,                 0.4399,                 1.0277,                 1.2629,                 1.2996,               0.008317,               0.008317,               0.008317
                     36,                0.67861,                 0.5604,                0.97367,                0.67964,                0.57063,                0.62196,                 0.4238,                 1.0769,                 1.2559,                  1.315,              0.0082675,              0.0082675,              0.0082675
                     37,                 0.6752,                0.56583,                0.97304,                0.64698,                0.62585,                  0.611,                0.41253,                 1.0481,                 1.2564,                 1.3248,               0.008218,               0.008218,               0.008218
                     38,                0.67156,                0.56421,                0.97613,                0.69856,                0.58509,                0.61159,                0.40939,                 1.0672,                 1.3256,                 1.3443,              0.0081685,              0.0081685,              0.0081685
                     39,                0.66985,                0.54026,                0.96704,                0.59858,                0.61046,                0.59253,                0.40489,                 1.0382,                 1.2975,                 1.3012,               0.008119,               0.008119,               0.008119
                     40,                0.65933,                0.53473,                0.96323,                0.65484,                0.60484,                0.62674,                0.42061,                  1.069,                 1.2342,                 1.3484,              0.0080695,              0.0080695,              0.0080695
                     41,                0.65848,                 0.5333,                0.95956,                0.64788,                0.62492,                0.62384,                0.41586,                 1.0661,                  1.234,                 1.3311,                0.00802,                0.00802,                0.00802
                     42,                0.64015,                0.52141,                0.95487,                0.64228,                0.60452,                0.62229,                0.42354,                 1.0424,                 1.2248,                 1.3014,              0.0079705,              0.0079705,              0.0079705
                     43,                0.63633,                0.51621,                 0.9529,                0.70033,                 0.5937,                0.62222,                0.42681,                 1.0137,                 1.1723,                 1.3076,               0.007921,               0.007921,               0.007921
                     44,                0.63448,                0.51224,                0.95413,                0.65448,                0.58441,                0.62347,                0.43017,                 1.0495,                 1.2232,                 1.3278,              0.0078715,              0.0078715,              0.0078715
                     45,                0.62598,                0.50643,                0.95416,                 0.6424,                0.64839,                0.63758,                0.44484,                 1.0374,                 1.2708,                 1.3148,               0.007822,               0.007822,               0.007822
                     46,                0.63476,                0.50705,                0.95295,                0.69051,                0.58584,                0.62639,                 0.4281,                 1.0391,                 1.2871,                 1.3384,              0.0077725,              0.0077725,              0.0077725
                     47,                0.63212,                0.49841,                0.95581,                0.72646,                0.55383,                 0.6369,                0.44352,                 1.0296,                  1.201,                  1.315,               0.007723,               0.007723,               0.007723
                     48,                0.61872,                0.50102,                0.95465,                0.67005,                0.62918,                0.63533,                0.44438,                   1.05,                 1.2353,                 1.3491,              0.0076735,              0.0076735,              0.0076735
                     49,                0.61957,                0.49815,                0.94989,                0.72625,                0.61557,                0.65198,                0.44988,                 1.0226,                  1.209,                 1.3141,               0.007624,               0.007624,               0.007624
                     50,                0.62671,                0.49864,                0.95125,                 0.6902,                0.61527,                0.64497,                 0.4478,                  1.013,                 1.2189,                 1.2951,              0.0075745,              0.0075745,              0.0075745
                     51,                0.61446,                 0.4927,                0.94204,                0.67312,                0.60249,                0.62778,                0.43074,                 1.0218,                  1.233,                 1.3311,               0.007525,               0.007525,               0.007525
                     52,                0.61231,                0.49544,                0.94721,                0.67472,                0.60022,                0.61978,                0.42652,                 1.0269,                 1.2636,                  1.312,              0.0074755,              0.0074755,              0.0074755
                     53,                0.59971,                0.48342,                 0.9415,                0.68539,                0.62789,                0.62757,                0.43257,                 1.0347,                 1.2386,                  1.327,               0.007426,               0.007426,               0.007426
                     54,                0.60428,                0.48221,                0.93689,                0.69682,                0.59652,                0.62893,                0.44063,                 1.0353,                 1.3005,                 1.3234,              0.0073765,              0.0073765,              0.0073765
                     55,                0.59309,                0.46749,                0.93244,                0.62371,                0.65386,                0.62798,                0.43346,                 1.0144,                 1.3002,                 1.3236,               0.007327,               0.007327,               0.007327
                     56,                0.61522,                0.47072,                0.93714,                0.65617,                0.62563,                0.61778,                0.42788,                 1.0248,                 1.2376,                   1.32,              0.0072775,              0.0072775,              0.0072775
                     57,                0.59126,                0.46512,                0.93869,                0.67488,                0.62897,                0.63373,                0.43626,                 1.0337,                 1.2467,                 1.3325,               0.007228,               0.007228,               0.007228
                     58,                0.58859,                0.45605,                0.93209,                0.68628,                0.58226,                0.62677,                0.43515,                 1.0335,                 1.2844,                 1.3395,              0.0071785,              0.0071785,              0.0071785
                     59,                0.58794,                0.45269,                0.92689,                0.68569,                0.62224,                0.63652,                0.43755,                 1.0497,                 1.2154,                 1.3651,               0.007129,               0.007129,               0.007129
                     60,                0.58603,                0.45314,                0.92954,                0.60346,                0.61491,                0.59614,                0.41226,                 1.0284,                 1.3718,                 1.3176,              0.0070795,              0.0070795,              0.0070795
                     61,                 0.5812,                0.44917,                0.92582,                0.63312,                0.63561,                0.62002,                0.42636,                0.99338,                 1.2828,                 1.3238,                0.00703,                0.00703,                0.00703
                     62,                0.58385,                0.45724,                0.93106,                0.69954,                0.60667,                0.63822,                0.45111,                0.98507,                 1.2364,                 1.2963,              0.0069805,              0.0069805,              0.0069805
                     63,                0.57191,                0.44467,                0.92196,                0.65662,                0.63594,                0.62036,                0.44114,                 1.0072,                  1.271,                 1.3245,               0.006931,               0.006931,               0.006931
                     64,                0.58563,                0.45292,                0.93127,                0.66972,                0.60373,                0.60503,                0.41681,                 1.0442,                 1.2471,                 1.3377,              0.0068815,              0.0068815,              0.0068815
                     65,                0.57629,                0.44648,                0.93089,                0.71944,                0.56127,                0.60944,                0.41953,                  1.038,                 1.2239,                 1.3411,               0.006832,               0.006832,               0.006832
                     66,                0.56386,                0.43755,                0.92077,                0.64448,                 0.6472,                0.63483,                0.44227,                 1.0197,                 1.1765,                 1.3341,              0.0067825,              0.0067825,              0.0067825
                     67,                0.55729,                0.43004,                0.92117,                0.70353,                0.61995,                0.64629,                0.45554,                 1.0118,                 1.1624,                 1.3233,               0.006733,               0.006733,               0.006733
                     68,                0.56124,                0.42303,                0.91752,                0.69417,                0.60833,                0.62826,                0.43743,                 1.0296,                 1.2281,                 1.3295,              0.0066835,              0.0066835,              0.0066835
                     69,                 0.5673,                0.44095,                0.92575,                0.70766,                0.61743,                0.64812,                0.45945,                0.99716,                 1.1709,                 1.3116,               0.006634,               0.006634,               0.006634
                     70,                0.55739,                0.42415,                0.92185,                0.70806,                0.61576,                0.64785,                0.45407,                 1.0122,                 1.1732,                 1.3021,              0.0065845,              0.0065845,              0.0065845
                     71,                0.55882,                0.42317,                0.92259,                0.70553,                0.59162,                0.62346,                0.44689,                0.99318,                 1.2401,                 1.3046,               0.006535,               0.006535,               0.006535
                     72,                0.55838,                0.42231,                0.91384,                0.64864,                0.62655,                0.63186,                0.44503,                 1.0056,                 1.2299,                 1.3086,              0.0064855,              0.0064855,              0.0064855
                     73,                 0.5586,                0.42751,                0.91317,                0.63582,                0.61352,                0.60447,                0.42356,                 1.0252,                 1.2663,                 1.3364,               0.006436,               0.006436,               0.006436
                     74,                0.55524,                0.41188,                0.91823,                0.72717,                0.54563,                0.60947,                 0.4351,                 1.0379,                 1.2414,                 1.3605,              0.0063865,              0.0063865,              0.0063865
                     75,                0.54556,                0.41662,                0.92127,                0.68239,                0.58624,                0.62029,                0.44028,                 1.0195,                 1.2623,                 1.3367,               0.006337,               0.006337,               0.006337
                     76,                0.54936,                0.41488,                0.91915,                0.67699,                0.58226,                0.60844,                0.42959,                 1.0051,                 1.3167,                 1.3334,              0.0062875,              0.0062875,              0.0062875
                     77,                0.53643,                0.41029,                 0.9203,                0.72876,                0.54901,                0.59324,                0.40743,                 1.0414,                 1.3118,                 1.3506,               0.006238,               0.006238,               0.006238
                     78,                0.54366,                0.41096,                0.91479,                0.71352,                0.56052,                0.60391,                0.42577,                  1.021,                 1.2822,                 1.3362,              0.0061885,              0.0061885,              0.0061885
                     79,                0.54826,                0.40053,                0.90609,                0.67979,                0.61963,                0.63018,                0.42915,                 1.0091,                 1.3007,                 1.3341,               0.006139,               0.006139,               0.006139
                     80,                0.54214,                0.40223,                0.91324,                0.69639,                0.59679,                0.63241,                0.44057,                  1.004,                 1.2987,                 1.3432,              0.0060895,              0.0060895,              0.0060895
                     81,                0.53223,                 0.4023,                0.91037,                0.68716,                0.60384,                0.62705,                0.42835,                 1.0424,                 1.2332,                 1.3713,                0.00604,                0.00604,                0.00604
                     82,                 0.5201,                0.39171,                0.90645,                0.69533,                 0.6127,                0.62554,                0.42631,                 1.0273,                 1.2205,                 1.3435,              0.0059905,              0.0059905,              0.0059905
                     83,                0.52785,                0.39224,                0.90386,                0.67308,                0.59731,                0.60618,                0.42045,                 1.0333,                 1.2906,                 1.3839,               0.005941,               0.005941,               0.005941
                     84,                 0.5322,                0.39786,                0.91004,                0.63542,                0.57049,                0.57626,                0.39642,                 1.0786,                 1.3834,                 1.4022,              0.0058915,              0.0058915,              0.0058915
                     85,                0.51755,                0.38827,                0.90386,                0.65265,                0.60452,                0.59987,                0.42223,                 1.0067,                 1.2195,                 1.3308,               0.005842,               0.005842,               0.005842
                     86,                0.50443,                0.37603,                0.89379,                0.64525,                0.59751,                0.61717,                 0.4266,                 1.0034,                 1.2721,                 1.3522,              0.0057925,              0.0057925,              0.0057925
                     87,                0.52015,                0.38596,                 0.9007,                0.65733,                0.62861,                0.61967,                0.43497,                 1.0384,                 1.3013,                 1.3655,               0.005743,               0.005743,               0.005743
                     88,                0.51749,                0.39395,                0.91079,                 0.7118,                0.60571,                 0.6269,                0.43791,                 1.0205,                 1.1813,                 1.3385,              0.0056935,              0.0056935,              0.0056935
                     89,                0.52063,                0.39089,                0.90509,                0.67862,                0.60803,                0.62319,                0.43522,                 1.0344,                 1.2391,                 1.3579,               0.005644,               0.005644,               0.005644
                     90,                0.51929,                0.39376,                0.90161,                0.71368,                0.59878,                0.63559,                0.44319,                 1.0278,                 1.2461,                 1.3574,              0.0055945,              0.0055945,              0.0055945
                     91,                0.50201,                 0.3781,                 0.8988,                0.64673,                0.62324,                0.61676,                0.42633,                 1.0228,                 1.2286,                 1.3597,               0.005545,               0.005545,               0.005545
                     92,                 0.5065,                0.37809,                0.90156,                0.69562,                0.56601,                0.60364,                0.42505,                 1.0241,                 1.3252,                 1.3532,              0.0054955,              0.0054955,              0.0054955
                     93,                0.50743,                0.37407,                0.89901,                0.65682,                0.61217,                0.60259,                0.42241,                 1.0011,                 1.2142,                 1.3618,               0.005446,               0.005446,               0.005446
